C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668671|*Aptitude|C0003646|3386|MH|RtM via: Aptitude;Forced Leaf Node Lookup:aptitudes|TI|MM|1147^9^0
10.2307/3668671|*Gardening|C0868963|8634|MH|RtM via: Gardening|TI|MM|637^7^0
10.2307/3668671|*Capacity Building|C2718026|7776|MH|RtM via: Capacity Building|TI|MM|105^17^0
10.2307/3668671|*Organization|C0029246|4692|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|1629^12^0
10.2307/3668671|*Future|C0016884|3888|ET|Entry Term Replacement for "Forecasting";RtM via: Future|TI|MM;RC|1023^6^0
10.2307/3668671|Africa, Southern|C0001746|2913|MH|RtM via: Africa, Southern|TI|MM|841^15^0
10.2307/3668672|Humans|C0086418|1000|CT|Forced Humans: Researchers||MM
10.2307/3668672|Cabo Verde|C0006893|8953|MH|RtM via: Cape Verde;Forced Leaf Node Lookup:cape verde|TI|MM|691^18^0;402^18^0
10.2307/3668672|Guinea-Bissau|C0018387|8953|MH|RtM via: Guinea-Bissau;Forced Leaf Node Lookup:guinea-bissau|TI|MM|597^13^0
10.2307/3668672|*Ethnobotany|C0376619|6043|MH|RtM via: Ethnobotany;Forced Leaf Node Lookup:ethnobotany|TI|MM|582^11^0;312^11^0
10.2307/3668672|Mozambique|C0026655|4582|MH|RtM via: Mozambique;Forced Leaf Node Lookup:mozambique|TI|MM;RC|1563^10^0;439^10^0
10.2307/3668672|*Islands|C0022130|2470|MH|Forced Leaf Node Lookup:islands|TI|MM|413^7^0;702^7^0
10.2307/3668672|Portugal|C0032729|2470|MH|Forced Leaf Node Lookup:portuguese|TI|MM|214^10^0;866^10^0
10.2307/3668672|*Publication|C0034036|10140|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|1467^11^0
10.2307/3668672|*Researchers|C0035173|5844|ET|Entry Term Replacement for "Research Personnel";RtM via: Research Personnel|TI|MM|524^11^0
10.2307/3668672|Africa|C0001737|4578|MH|RtM via: African country|TI|MM|886^17^0
10.2307/3668672|*Publishing|C0034037|4395|MH|RtM via: Publishing;Forced Non-Leaf Node Lookup:publishing|TI|MM|1467^11^0;341^10^0
10.2307/3668672|*Occupation|C0028811|3102|ET|Entry Term Replacement for "Occupations";RtM via: Occupations;Forced Non-Leaf Node Lookup:occupations|TI|MM|1804^10^0
10.2307/3668673|*Biodiversity|C0282469|18318|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|293^12^0
10.2307/3668673|*Habitats|C0871648|11958|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|954^8^0;909^8^0;327^8^0;259^8^0
10.2307/3668673|Africa|C0001737|3273|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM|633^6^0
10.2307/3668673|East Africa|C0001741|2853|ET|Entry Term Replacement for "Africa, Eastern";RtM via: Africa, Eastern;Forced Non-Leaf Node Lookup:east africa|TI|MM|667^11^0;50^11^0
10.2307/3668673|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1056^3^0
10.2307/3668674|Humans|C0086418|13699|CT|CT Text Lookup: staff|TI|MM;RC|349^5^0
10.2307/3668674|*Fellowships and Scholarships|C0015771|3643|MH|RtM via: Fellowships;Forced Leaf Node Lookup:fellowships|TI|MM|324^11^0
10.2307/3668674|Benin|C0005005|1540|MH|RtM via: Benin Republic;Forced Leaf Node Lookup:benin|TI|MM|101^5^0;162^5^0
10.2307/3668674|Netherlands|C0027778|1468|MH|RtM via: Netherlands;Forced Leaf Node Lookup:netherlands|TI|MM|85^11^0
10.2307/3668674|*Publications|C0034036|12699|MH|RtM via: Publications;RtM via: Scientific Publication|TI|MM|844^11^0;387^12^0
10.2307/3668674|*Book|C0006002|8610|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM|187^4^0
10.2307/3668674|*Publishing|C0034037|2985|MH|RtM via: Publishing|TI|MM|844^11^0
10.2307/3668674|*Mycobacterium avium Complex|C0026914|573|MH|RtM via: Mycobacterium avium Complex|TI|MM|755^4^0
10.2307/3668676|Humans|C0086418|5149|CT|CT Text Lookup: men|TI|MM;RC|182^4^0
10.2307/3668676|Male|C0086582|5149|CT|CT Text Lookup: men|TI|MM;RC|182^4^0
10.2307/3668676|*Men|C0025266|4149|MH|RtM via: Male population group|TI|MM|182^4^0
10.2307/3668676|*Health Facilities|C0018704|2646|MH|RtM via: Health care facility|TI|MM|797^13^0
10.2307/3668676|*Institutes|C0021622|2361|ET|Entry Term Replacement for "Academies and Institutes";RtM via: Institutes|TI|MM|860^10^0
10.2307/3668676|*Survey|C0038951|1596|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|1068^6^0
10.2307/3668677|Somalia|C0037640|10942|MH|RtM via: Somalia;RtM via: Somalis (ethnic group);Forced Leaf Node Lookup:somalia;Forced Leaf Node Lookup:somalis|TI|MM|543^7^0;1788^6^0
10.2307/3668677|*Altitude|C0002349|1742|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|2270^8^0;1020^8^0
10.2307/3668677|Africa South of the Sahara|C0001738|1010|MH|Forced Leaf Node Lookup:sub-saharan|TI|MM|140^11^0
10.2307/3668677|*Grassland|C0442534|1010|MH|Forced Leaf Node Lookup:savannas|TI|MM|160^7^0;341^7^0;595^7^0;863^7^0;1214^7^0
10.2307/3668677|*Temperature|C0039476|1010|MH|Forced Leaf Node Lookup:temperatures|TI|MM|914^11^0
10.2307/3668677|Africa, Eastern|C0001741|8919|MH|RtM via: Africa, Eastern;Forced Non-Leaf Node Lookup:eastern africa|TI|MM|391^14^0
10.2307/3668677|*Tracheophyta|C0682475|1581|MH|RtM via: Tracheophyta|TI|MM|91^15^0
10.2307/3668677|*Geography|C0017447|1305|MH|RtM via: Geography|TI|MM|684^12^0
10.2307/3668677|*Data Collection|C0010995|525|MH|RtM via: Analytical Procedure Range|TI|MM|1115^5^0;697^5^0
10.2307/3668678|*Moraceae|C0949951|3140|MH|RtM via: Moraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moraceae|TI|MM|1328^8^0;632^8^0
10.2307/3668678|*Sapotaceae|C0949976|2684|MH|RtM via: Sapotaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sapotaceae|TI|MM|1310^10^0;617^10^0
10.2307/3668678|*Information Extraction|C3661499|3606|ET|Entry Term Replacement for "Information Storage and Retrieval";RtM via: Information Extraction|TI|MM|648^10^1;663^12^1
10.2307/3668678|*Data Management|C0596404|1380|MH|RtM via: Databases|TI|MM|73^8^0
10.2307/3668678|*Databases, Factual|C0079199|1251|MH|RtM via: Databases|TI|MM|73^8^0
10.2307/3668678|*Health Services|C0018747|1209|MH|RtM via: Test Method|TI|MM|537^6^0
10.2307/3668678|*Habitat|C0871648|516|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|887^7^0;203^7^0
10.2307/3668679|Humans|C0086418|2320|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
10.2307/3668679|Chad|C0007928|489|MH|RtM via: Chad;Forced Leaf Node Lookup:chad|TI|MM|393^4^0
10.2307/3668679|*Uncertainty|C0087130|1320|MH|RtM via: Uncertainty|TI|MM|422^13^0
10.2307/3668679|*Mental Recall|C0034770|795|MH|RtM via: Mental Recall|TI|MM|59^6^0
10.2307/3668679|*Asian Continental Ancestry Group|C1257906|306|MH|RtM via: Asians|TI|MM|831^8^0
10.2307/3668679|*Software|C0037585|228|MH|RtM via: Computer software;Forced Non-Leaf Node Lookup:software|TI|MM|298^8^0
10.2307/3668680|Cabo Verde|C0006893|340|MH|RtM via: Cape Verde;Forced Leaf Node Lookup:cabo verde|TI|MM|466^10^0
10.2307/3668680|Somalia|C0037640|340|MH|RtM via: Somalia;Forced Leaf Node Lookup:somalia|TI|MM|480^7^0
10.2307/3668680|*Consultation|C0009818|1101|ET|Entry Term Replacement for "Referral and Consultation";RtM via: Consultation|TI|MM|953^13^0;246^12^0
10.2307/3668680|*Databases, Factual|C0079199|801|MH|RtM via: Databases|TI|MM;RC|692^8^0;363^8^0;32^8^0
10.2307/3668680|*Data Management|C0596404|642|MH|RtM via: Databases|TI|MM|692^8^0;363^8^0;32^8^0
10.2307/3668680|*Mars|C0242747|525|MH|RtM via: Planet Mars|TI|MM|1069^4^0
10.2307/3668680|Africa, Northern|C0001745|375|MH|RtM via: Africa, Northern|TI|MM|164^8^1;182^6^1
10.2307/3668681|*Feasibility Studies|C0015730|4476|MH|Forced Leaf Node Lookup:feasibility|TI|MM|681^11^0
10.2307/3668681|*Internet Access|C4704731|41109|MH|RtM via: Internet Access|TI|MM|863^22^0
10.2307/3668681|Partington X-linked mental retardation syndrome|C0796250|28126|NM|RtM via: PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME|TI|MM|1828^4^0
10.2307/3668681|*Seizures|C0036572|28125|HM|RtM via: PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME|TI|MM|1828^4^0
10.2307/3668681|*Mental Retardation, X-Linked|C1136249|27243|HM|RtM via: PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME|TI|MM|1828^4^0
10.2307/3668681|*Ataxia|C0004134|26586|HM|RtM via: PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME|TI|MM|1828^4^0
10.2307/3668681|*Biodiversity|C0282469|576|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|1140^12^0
10.2307/3668682|*Midazolam|C0026056|942|MH|RtM via: Versed|TI|MM|905^4^0
10.2307/3668682|*Technology|C0039421|690|MH|RtM via: Technology|TI|MM|842^12^0;673^12^0;309^12^0
10.2307/3668682|*Cyclophosphamide|C0010583|501|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|724^4^0
10.2307/3668682|*Cisplatin|C0008838|381|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|724^4^0
10.2307/3668683|*Name|C0027365|213|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|234^4^0
10.2307/3668683|*Software|C0037585|129|MH|RtM via: Computer software;Forced Non-Leaf Node Lookup:software|TI|MM|244^8^0
10.2307/3668683|*Preservation, Biological|C0033085|84|MH|RtM via: Biologic Preservation|TI|MM|302^9^0
10.2307/3668684|Niger|C0028074|8906|MH|RtM via: Niger;Forced Leaf Node Lookup:niger|TI|MM|371^5^0;82^5^0
10.2307/3668684|*Poaceae|C0018210|2366|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|341^7^0;50^5^0
10.2307/3668684|Africa, West|C0001747|8415|ET|Entry Term Replacement for "Africa, Western";RtM via: Africa, Western;Forced Non-Leaf Node Lookup:west africa|TI|MM|126^11^0
10.2307/3668684|*Asteraceae|C0446228|1632|MH|RtM via: Guizotia abyssinica|TI|MM|371^5^0;82^5^0
10.2307/3668684|*Cyclophosphamide|C0010583|366|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|377^4^0
10.2307/3668684|*Cisplatin|C0008838|255|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|377^4^0
10.2307/3668685|Somalia|C0037640|180|MH|RtM via: Somalia;Forced Leaf Node Lookup:somalia|TI|MM|256^7^0
10.2307/3668685|*Survey|C0038951|1305|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|325^8^0
10.2307/3668685|*Hypertrophy|C0020564|270|MH|RtM via: Enlarged|TI|MM|125^8^0
10.2307/3668685|*Behavior Therapy|C0004933|258|MH|RtM via: System Support Mapping|TI|MM|348^4^0
10.2307/3668686|Guinea|C0018381|3157|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|146^6^0
10.2307/3668686|*Rubiaceae|C0524885|1237|MH|RtM via: Rubiaceae;RtM via: Sabicea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|746^9^0;60^9^0;1284^7^0;730^7^0;586^7^0;44^7^0
10.2307/3668686|*Principal Component Analysis|C0429865|1138|MH|RtM via: Principal Component Analysis;RtM via: Principal component analysis of arterial velocity waveform;Forced Leaf Node Lookup:principal component analysis|TI|MM|257^28^0
10.2307/3668686|*Marital Status|C0024819|4902|MH|RtM via: Legally Separated|TI|MM|425^9^0
10.2307/3668686|Africa|C0001737|4500|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM;RC|676^6^0
10.2307/3668686|*Social Problems|C0037431|2361|MH|RtM via: Legally Separated|TI|MM|425^9^0
10.2307/3668686|*Behavior Therapy|C0004933|285|MH|RtM via: System Support Mapping|TI|MM|534^4^0
10.2307/3668687|*Fructose|C0016745|29646|MH|RtM via: Fructose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fructose|TI|MM|1491^8^0;430^8^0
10.2307/3668687|*Asphodelaceae|C1001390|21048|ET|Entry Term Replacement for "Xanthorrhoeaceae";RtM via: Xanthorrhoeaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asphodelaceae|TI|MM|1156^13^0;131^13^0
10.2307/3668687|*Glucose|C0017725|20457|MH|RtM via: Glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM|1482^7^0;421^7^0
10.2307/3668687|*Sucrose|C0038636|16914|MH|RtM via: Sucrose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sucrose|TI|MM|1843^7^0;1501^7^0;750^7^0;440^7^0;881^7^0;1977^7^0
10.2307/3668687|*Sugar|C0242209|13254|ET|Entry Term Replacement for "Sugars";RtM via: Sugars;RtM via: RAW SUGAR;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|402^5^0
10.2307/3668687|*Plant Nectar|C2717960|12921|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM|1700^6^0;615^6^0;395^6^0
10.2307/3668687|*Asparagales|C1030020|16581|MH|RtM via: Asphodelaceae;RtM via: Chortolirion;RtM via: Astroloba;RtM via: Haworthia|TI|MM|1156^13^0;131^13^0;1924^12^0;1559^12^0;831^12^0;498^12^0;1940^9^0;1548^9^0;848^9^0;487^9^0;2048^9^0;1728^9^0;1598^9^0;933^9^0;650^9^0;535^9^0
10.2307/3668687|*Mycobacterium avium Complex|C0026914|4236|MH|RtM via: Mycobacterium avium Complex|TI|MM|2085^4^0;1302^4^0
10.2307/3668687|*Dissent and Disputes|C1136019|588|MH|RtM via: Disputes|TI|MM|177^9^0
10.2307/3668687|*Thinking|C0039869|135|MH|RtM via: Speculating|TI|MM|315^11^0
10.2307/3668688|*Microscopy, Electron, Scanning|C0026020|21436|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM|275^28^0
10.2307/3668688|*Discriminant Analysis|C0012630|10207|MH|RtM via: Discriminant Analysis;Forced Leaf Node Lookup:discriminant analysis|TI|MM|675^21^0
10.2307/3668688|*Thymelaeaceae|C0949981|9553|MH|RtM via: Thymelaeaceae;RtM via: Gnidia <angiosperm>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:thymelaeaceae|TI|MM|141^13^0;1589^6^0;133^6^0
10.2307/3668688|*Inflorescence|C2697680|6505|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|3040^13^0;1392^13^0
10.2307/3668688|*Variance Analyses|C0002780|10920|ET|Entry Term Replacement for "Analysis of Variance";RtM via: Analysis of Variance|TI|MM|1919^8^1;1931^8^1
10.2307/3668688|*Mouth|C0226896|2688|MH|RtM via: Oral cavity|TI|MM|2416^8^0
10.2307/3668688|*Organization|C0029246|2028|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|3022^12^0;1406^12^0
10.2307/3668688|*Specialization|C0037776|1308|MH|RtM via: Specialization|TI|MM|856^14^0
10.2307/3668688|*Plant Leaves|C0242724|429|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1245^4^0;1119^4^0;1014^4^0;809^6^0;751^4^0;586^4^0;350^6^0;216^6^0;82^4^0
10.2307/3668689|Female|C0086287|37384|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|1019^5^0
10.2307/3668689|*Inflorescence|C2697680|36384|MH|RtM via: Inflorescence Types;Forced Leaf Node Lookup:inflorescence types;Forced Leaf Node Lookup:inflorescences|TI|MM|1538^18^0;4660^13^0;4375^14^0;4025^13^0;3474^13^0;3140^14^0;2899^14^0;2049^13^0;1852^14^0;1066^14^0;749^14^0;520^14^0
10.2307/3668689|*Ovary|C0029939|9302|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovaries;Forced Leaf Node Lookup:ovary|TI|MM|1718^7^0;1451^5^0;1019^5^0
10.2307/3668689|*Constriction|C0009813|6023|MH|RtM via: Constriction procedure;Forced Leaf Node Lookup:constrictions|TI|MM|4480^12^0;3872^12^0;3390^12^0;1932^12^0;1427^13^0;995^13^0
10.2307/3668689|*Discriminant Analysis|C0012630|3910|MH|RtM via: Discriminant Analysis;Forced Leaf Node Lookup:analysis, discriminant|TI|MM|1191^21^0;1181^22^0
10.2307/3668689|*Flowers|C0330090|13275|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|2031^6^0;1917^6^0;1843^8^0;1669^7^0;1411^6^0;979^6^0;1055^7^0;793^6^0;539^7^0;1476^6^0;2148^6^0
10.2307/3668689|*Reproduction|C0035150|4509|MH|RtM via: Reproduction|TI|MM|1793^12^0
10.2307/3668689|*Plant Leaves|C0242724|4188|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1758^6^0;737^6^0
10.2307/3668689|*Mycobacterium avium Complex|C0026914|3831|MH|RtM via: Mycobacterium avium Complex|TI|MM|2591^4^0
10.2307/3668689|Analysis of Variance|C0002780|1000|MH|Forced Non-Leaf Node Lookup:analysis of variance||MM|1232^20^0
10.2307/3668690|Animals|C0003062|27127|CT|Cods;CT Treecode Lookup: B01.050.150.900.493 (Cods)|TI|MM
10.2307/3668690|*Introns|C0021920|23163|MH|RtM via: Introns;Forced Leaf Node Lookup:introns|TI|MM|2559^6^0;549^6^0
10.2307/3668690|*Cods|C0998870|12672|ET|Entry Term Replacement for "Gadiformes";RtM via: Gadidae;RtM via: Cod;checkForceMH Boosted|TI|MM|2851^4^0
10.2307/3668690|*Phylogeny|C0031797|12069|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM|1760^9^0;1130^9^0;929^12^0;736^12^0;682^12^0;794^12^0
10.2307/3668690|*Legume|C0023263|12030|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;RtM via: Librevillea;RtM via: Gilbertiodendron;RtM via: Anthonotha;RtM via: Isoberlinia;RtM via: Berlinia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:legumes|TI|MM|46^6^0;2379^11^0;377^11^0;3339^16^0;2339^16^0;1323^16^0;336^16^0;3372^10^0;2327^10^0;1354^10^0;324^10^0;3735^11^0;3557^11^0;3214^11^0;3106^11^0;2314^11^0;1674^11^0;1501^11^0;1214^11^0;1065^11^0;311^11^0;3670^8^0;3471^8^0;3077^8^0;2222^8^0;2015^8^0;1617^8^0;1443^8^0;1051^8^0;213^8^0;59^8^0
10.2307/3668690|*Ribosomes|C0035553|9591|MH|RtM via: Ribosomes|TI|MM|633^9^0
10.2307/3668690|*Chloroplast|C0008266|8784|ET|Entry Term Replacement for "Chloroplasts";RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM|520^11^0
10.2307/3668690|*Inclusion Bodies|C0007637|4932|MH|RtM via: Inclusion Bodies|TI|MM|1922^9^0
10.2307/3668690|*Nucleotides|C0028630|1878|MH|RtM via: Nucleotides;Forced Non-Leaf Node Lookup:nucleotides|TI|MM|461^10^0
10.2307/3668691|Animals|C0003062|3934|CT|Sable;CT Treecode Lookup: B01.050.150.900.649.313.750 (Sable)||MM;RC
10.2307/3668691|Botswana|C0006041|2934|MH|RtM via: Kalahari;Forced Leaf Node Lookup:kalahari|TI|MM|642^8^0;287^8^0
10.2307/3668691|*Sable|C0325046|2172|ET|Entry Term Replacement for "Mustelidae";RtM via: Sables;checkForceMH Boosted|TI|MM|633^5^0
10.2307/3668691|*Sand|C4759711|981|MH|RtM via: Sand;Forced New Lookup:sand;checkForceMH Boosted|TI|MM|296^4^0
10.2307/3668691|*Mycobacterium avium Complex|C0026914|1638|MH|RtM via: Mycobacterium avium Complex|TI|MM|554^4^0
10.2307/3668691|*Publications|C0034036|246|MH|RtM via: Scientific Publication|TI|MM|130^9^0
10.2307/3668692|*Millettia|C1017521|3070|MH|RtM via: Millettia;Forced Leaf Node Lookup:millettia;checkForceMH Boosted|TI|MM|489^9^0;44^9^0
10.2307/3668692|*Phylogeny|C0031797|767|MH|Forced Lookup:phylogenetic|TI|MM|326^12^0
10.2307/3668692|*Preliminary Data|C4505218|767|MH|Forced Leaf Node Lookup:preliminary data|TI|MM|371^16^0
10.2307/3668692|GZMB protein, human|C1567160|17197|NM|RtM via: GZMB protein, human|TI|MM|537^4^0;103^4^0
10.2307/3668692|*Granzymes|C1333877|17196|HM|RtM via: GZMB protein, human|TI|MM|537^4^0;103^4^0
10.2307/3668692|Africa|C0001737|1218|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM;RC|95^6^0
10.2307/3668692|*Publications|C0034036|522|MH|RtM via: Scientific Publication|TI|MM|430^9^0
10.2307/3668692|*Plant Leaves|C0242724|78|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|216^6^0
10.2307/3668693|*Hyacinthaceae|C1008921|13785|ET|Entry Term Replacement for "Asparagaceae";RtM via: Asparagaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hyacinthaceae|TI|MM|610^13^0;78^13^0
10.2307/3668693|Africa South of the Sahara|C0001738|1890|MH|Forced Leaf Node Lookup:sub-saharan|TI|MM|122^11^0
10.2307/3668693|*Asparagales|C1030020|11892|MH|RtM via: Hyacinthaceae|TI|MM|610^13^0;78^13^0
10.2307/3668693|*Base Sequence|C0004793|8805|MH|RtM via: DNA Sequence|TI|MM|223^14^0
10.2307/3668693|*DNA Sequencing|C0917792|4728|ET|Entry Term Replacement for "Sequence Analysis, DNA";RtM via: Sequence Determinations, DNA|TI|MM|223^14^0
10.2307/3668693|*DNA|C0012854|1788|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|223^3^0
10.2307/3668693|Sahara|C0205654|804|ET|Entry Term Replacement for "Africa, Northern";RtM via: Sahara|TI|MM|126^7^0
10.2307/3668694|Comoros|C0009490|13873|MH|RtM via: Comoros;Forced Leaf Node Lookup:comoros|TI|MM|713^7^0
10.2307/3668694|Madagascar|C0024443|13048|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|1373^10^0;1007^10^0;662^10^0
10.2307/3668694|*Fruit|C0016767|10333|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1048^6^0;386^6^0
10.2307/3668694|Seychelles|C0036919|9961|MH|RtM via: Seychelles;Forced Leaf Node Lookup:seychelles|TI|MM|1412^10^0;694^10^0
10.2307/3668694|Africa, Southern|C0001746|10146|MH|RtM via: Africa, Southern;Forced Non-Leaf Node Lookup:southern africa|TI|MM|645^15^0
10.2307/3668694|*Seed|C0036563|7881|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|456^4^0
10.2307/3668694|*Rubiaceae|C0524885|1923|MH|RtM via: Tarenna;RtM via: Enterospermum|TI|MM|1245^7^0;763^7^0;524^7^0;96^7^0;1280^11^0;559^11^0
10.2307/3668695|Animals|C0003062|147291|CT|Fly;CT Treecode Lookup: B01.050.500.131 (Fly)|TI|MM
10.2307/3668695|*Stachys|C1083570|146291|MH|RtM via: Stachys;Forced Leaf Node Lookup:stachys;checkForceMH Boosted|TI|MM|2260^7^0;1589^7^0;791^7^0;183^7^0
10.2307/3668695|*Plectranthus|C1009368|117569|MH|RtM via: Plectranthus;Forced Leaf Node Lookup:plectranthus;checkForceMH Boosted|TI|MM|1640^12^0;1537^12^0;233^12^0;131^12^0
10.2307/3668695|*Salvia|C0331292|116536|MH|RtM via: Salvia;RtM via: Salvia scabra;RtM via: Salvia repens;RtM via: Salvia ramosa;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salvias|TI|MM|1600^6^0;195^6^0;2278^13^0;809^13^0;2593^13^0;1099^13^0;824^13^0;2293^6^1;2334^6^1
10.2307/3668695|*Orthosiphon|C1135837|108104|MH|RtM via: Orthosiphon;Forced Leaf Node Lookup:orthosiphon;checkForceMH Boosted|TI|MM|2490^11^0;1565^11^0;995^11^0;159^11^0
10.2307/3668695|*Pollination|C1522786|67768|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|980^11^0;777^10^0;218^11^0;364^10^0
10.2307/3668695|South Africa|C0037712|31111|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa;Geo Lookup:kwazulu-natals|TI;AB|MM|287^12^0
10.2307/3668695|*Grassland|C0442534|22246|MH|Forced Leaf Node Lookup:grasslands|TI|MM|714^9^0;1131^9^0
10.2307/3668695|*Woodlands|C0086312|19944|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|876^6^0;887^8^0;562^6^0;581^9^0
10.2307/3668695|*Habitats|C0871648|13179|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|2350^8^0;1141^8^0;896^8^0;724^8^0
10.2307/3668695|*Flowers|C0330090|11982|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|516^7^0
10.2307/3668695|Africa, Southern|C0001746|9234|MH|RtM via: Africa, Southern;Forced Non-Leaf Node Lookup:southern africa|TI|MM|618^15^0
