10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3243903|The species of the genus Caloplaca occurring on seashore rocks in eastern North America have been studied with regard to taxonomy, geographical distribution, and ecology. Five species were found to inhabit the coastal rocks. The species also occur in Europe, and three of them in Asia. Three of the species, C. microthallina (Wedd.) Zahlbr., C. scopularis (Nyl.) Lettau, and C. verruculifera (Vainio) Zahlbr. occur exclusively on seashore rocks, while C. lithophila H. Magn. and C. fraudans (Th. Fr.) H. Olivier occur also in inland localities. One-way analysis of variance of both morphological and anatomical characters was carried out on the American and the European populations of the species, except C. fraudans. No significant differences were found in C. lithophila, but in the other three species significant differences were recorded in two or three characters. However, the differences were mostly very small, the overlaps large, and no discontinuities could be detected. Therefore no infraspecific taxa were recognized.
41289786|The North American hepatic flora includes 24 species of Lophozia distributed among five subgenera and five species of Schistochilopsis. Lophozia pacifica Bakalin is described as new to science, based on retuse leaves clearly decurrent on the dorsal side of the stem and fusiformcylindrical perianth. Lophozia sect. Heteromorphae R. M. Schust. and I. sect. Savicziae Bakalin are synonymized with L. sect. Lophozia. Lophozia sect. Longidentatae R. M. Schust. is synonymized with Lophozia sect. Excisae R. M. Schust. New combinations are proposed: Lophozia subg. Obtusifolium (H. Buch) Bakalin comb, nov., Lophozia subg. Sudeticae (Schljakov) Bakalin comb, nov., Schistochilopsis sect. Heterogemmae (Jrg.) Bakalin comb, nov., Schistochilopsis incisa var. opacifolia (Culmann) Bakalin comb. nov.
20485778|Hypogymnia minilobata is described as a new species of lichenized fungi from the coast of southern California and the Channel Islands. Previously lumped under H. occidentalis, H. minilobata is distinguished from that species by its small size, consistently appressed growth form, slightly smaller and more elongate spores, and distinct ITS and GPD sequences. So far H. minilobata is known from coastal scrub and woodlands, and is especially common in the Los Osos and Baywood areas of San Luis Obispo County, California.
10.2307/3241996|Samples of Collema nigrescens (Huds.) DC., Hypogymnia enteromorpha (Ach.) Nyl. and Parmelia sulcata Tayl. were fumigated with peroxyacetylnitrate (PAN) daily for 4 h periods over 7-8 days at concentrations of 100 and 50 ppb. All of these species as well as Peltigera rufescens (Weis.) Humb. were fumigated for 1 h at 200 ppb PAN. Injury was evaluated as reduction in gross photosynthesis during the fumigation periods. Results of the long term, low concentration fumigations show that P. sulcata is more sensitive to PAN than H. enteromorpha and that C. nigrescens is apparently unaffected under the experimental conditions. Results of the acute high dose fumigation show slight enhancement of photosynthesis in all species except H. enteromorpha. With the exception of C. nigrescens, laboratory results are generally consistent with unpublished observations of distribution and vitality of the species in the field.
10.2307/3241360|Mnium subpunctatum Card. & Broth., described from the Andes of Patagonia, belongs to Cinclidium Sw. and is evidently conspecific with C. stygium Sw. The typification of M. subpunctatum is suggested.
10.2307/3242223|Two relatively small collections of mosses from British Honduras yielded 51 species, of which 23 apparently have not been reported previously from this country. In addition to being closely related to that of Guatemala, the moss flora of British Honduras also demonstrates close affinities with the West Indian moss flora.
10.2307/3244081| Through a survey at Salazar Lake, Municipio de Ocoyoacac, State of Mexico, a single stem of Fissidens crispus Mont. was recovered from a depth of 45-50 cm. Radiometric dating indicates an age of 2,420  40 years BP for the sample. This is the first record of a fossil or subfossil moss in Mexico. 
10.2307/3243758|Grimmia crassifolia Lindb. is reported for the first time in Europe from the area of Assenograd (Bulgaria). The species is illustrated and notes are given on its morphology, distribution, and ecology.
10.2307/3243760| The filamentous microlichen Coenogonium missouriense sp. nov. (Coenogoniaceae, ascolichens) is described from the wet walls of a dimly lit dolomite cave in Missouri. The highly characteristic pastel green filaments are long, profusely branched, and 7-13 m wide. Thephycobiont, Physolinum monilia (De Wildem.) Printz (Trentepohliaceae, Chlorophyta), is tightly corticated by a flattened single layer of laterally adherent hyaline fungus cells. Hyaline ovate spores with walls covered by short spines occurred in groups of about eight near the mycobiont. 
10.2307/3242217|Populations of the cosmopolitan moss species Funaria hygrometrica Hedw. and Weissia controversa Hedw. were examined to determine the existence of inter- or intra-specific differences in response to the nutrient environment. Little intra-specific variation was observed. Both species had optimum growth at pH 8.0-8.5; Weissia was less tolerant than Funaria of extremes in pH. The nutrient concentrations in IN BBM (Bold's Basal Medium) generally produced maximum growth in Funaria while Weissia had lower requirements for iron, phosphorus and certain forms of nitrogen. The relative tolerance of these species for high pH and nutrient levels may account for the preference of Funaria for burned-over areas and for the more limited habitat distribution of Weissia.
