10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/1218702|*Mitochondria|C0026237|85467|MH|RtM via: Mitochondria;Forced Non-Leaf Node Lookup:mitochondria|TI|MM;RC|521^12^0;191^12^0
10.2307/1218702|*Eukaryotic Cells|C0015161|47568|MH|RtM via: Eukaryotic Cells|TI|MM;RC|1029^10^0
10.2307/1218702|*Blue Green Algae|C1047211|26451|ET|Entry Term Replacement for "Cyanobacteria";RtM via: Cyanobacteria;Forced Non-Leaf Node Lookup:blue-green algae|TI|MM;RC|1471^16^0
10.2307/1218702|*Attention|C0004268|2694|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|273^9^0
10.2307/1218702|Microtubules|C0026046|1000|MH|Forced Non-Leaf Node Lookup:microtubules||MM|721^11^0
10.2307/1218702|*Longitudinal Studies|C0023981|333|MH|RtM via: Continuous|TI|MM|1616^10^0
10.2307/1218705|Animals|C0003062|133762|CT|CT Text Lookup: animal|TI|MM;RC|209^6^0;78^8^0
10.2307/1218705|*Eukaryota|C0684063|132762|MH|RtM via: Kingdom Protista;RtM via: Protista;RtM via: Eukaryota;checkForceMH Boosted;Forced Non-Leaf Node Lookup:eukaryotas|TI|MM;RC|455^11^0;470^8^0;1071^9^0;737^9^0;869^9^0;436^9^0;333^10^0;167^10^0
10.2307/1218705|*Phylogeny|C0031797|53064|MH|RtM via: Phylogeny;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|941^9^0
10.2307/1218705|*Fungi|C0016832|61326|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|192^5^0
10.2307/1218705|*Prokaryotic Cells|C0686817|60861|MH|RtM via: Prokaryote|TI|MM;RC|316^11^0;151^11^0
10.2307/1218705|*Eukaryotic Cells|C0015161|46008|MH|RtM via: Eukaryotic Cells|TI|MM;RC|869^9^0;436^9^0
10.2307/1218705|*Plant|C0032098|41286|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|203^5^0;66^7^0
10.2307/1218706|Animals|C0003062|53634|CT|Life Cycles;CT Treecode Lookup: B05.500 (Life Cycles);Life Cycles;CT Treecode Lookup: G07.345.500.550.500 (Life Cycles);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|526^7^0
10.2307/1218706|*Fossils|C0016614|52634|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|817^6^0
10.2307/1218706|*Phylogeny|C0031797|30318|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenies;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|666^12^0;273^11^0;220^9^0
10.2307/1218706|*Eukaryota|C0684063|19860|MH|RtM via: Protista|TI|MM;RC|1147^8^0;514^8^0;237^8^0
10.2307/1218706|*Plants|C0032098|13104|MH|RtM via: Plants|TI|MM;RC|540^6^0
10.2307/1218706|*Life Cycles|C0023675|4794|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages|TI|MM|797^11^0
10.2307/1218706|*Plant Leaves|C0242724|1875|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|895^6^0
10.2307/1218707|Animals|C0003062|73958|CT|CT Text Lookup: animal|TI|MM;RC|499^6^0
10.2307/1218707|*Fossils|C0016614|72958|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|822^6^0;604^7^0;44^6^0
10.2307/1218707|*Phylogeny|C0031797|35421|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenies;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|1025^12^0;894^12^0;283^11^0;104^12^0;195^9^0
10.2307/1218707|*Eukaryota|C0684063|16494|MH|RtM via: Protista|TI|MM;RC|132^8^0
10.2307/1218707|Biodiversity|C0282469|869|MH|||RC
10.2307/1218707|*Record|C0034869|456|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|829^6^0;51^6^0
10.2307/1218707|*Cell Differentiation|C0007589|159|MH|RtM via: Cell Differentiation process|TI|MM|371^15^0
10.2307/1218707|*Cyst|C0010709|96|ET|Entry Term Replacement for "Cysts";RtM via: Cyst;Forced Non-Leaf Node Lookup:cyst|TI|MM|664^4^0
10.2307/1218708|*Phylogeny|C0031797|28406|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|327^12^0;104^12^0
10.2307/1218708|*Zymomonas|C0162737|6931|MH|RtM via: Zymomonas;Forced Leaf Node Lookup:zymomonas;checkForceMH Boosted|TI|MM|468^9^0
10.2307/1218708|*Biological Evolution|C0015219|25710|MH|RtM via: Biological Evolution|TI|MM;RC|390^12^0
10.2307/1218708|*Agrobacterium|C0001830|6258|MH|RtM via: Agrobacterium;Forced Non-Leaf Node Lookup:agrobacterium|TI|MM|365^19^0;371^13^0
10.2307/1218708|*Bacteria|C0004611|3240|MH|RtM via: Bacterial|TI|MM|157^9^0
10.2307/1218708|*Models, Biological|C0026339|1902|MH|RtM via: Biological Models|TI|MM|235^12^0
10.2307/1218709|*Amino Acid Sequence|C0002518|44576|MH|RtM via: Amino Acid Sequence;Forced Leaf Node Lookup:amino acid sequences|TI|MM;RC|217^20^0
10.2307/1218709|*Phylogeny|C0031797|19334|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|759^12^0
10.2307/1218709|*Cytochromes c|C0010749|13804|MH|RtM via: Cytochromes c;RtM via: Cytochrome C, human;Forced Leaf Node Lookup:cytochrome c;checkForceMH Boosted|TI|MM|118^12^0;271^12^0
10.2307/1218709|*Temperature|C0039476|9530|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|584^11^0
10.2307/1218709|*Fungi|C0016832|7716|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|686^5^0;393^5^0;253^5^0
10.2307/1218709|*Biological Evolution|C0015219|7245|MH|RtM via: Biological Evolution|TI|MM|365^13^0
10.2307/1218709|*Electrophoreses|C0013855|3441|ET|Entry Term Replacement for "Electrophoresis";RtM via: Electrophoresis|TI|MM|478^15^0
10.2307/1218709|*Research|C0035168|603|MH|RtM via: Study|TI|MM|300^8^0
10.2307/1218709|*Sequence Analysis|C0162801|4824|MH|RtM via: Sequence Analysis;Forced Non-Leaf Node Lookup:sequence analysis|TI|MM|73^17^0
10.2307/1218709|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM;RC|577^2^0
10.2307/1218711|Humans|C0086418|1975|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
10.2307/1218711|*Employment|C0014003|975|MH|RtM via: Employment;Forced Non-Leaf Node Lookup:employment|TI|MM;RC|486^10^0
10.2307/1218711|*Plants|C0032098|591|MH|RtM via: Plants|TI|MM;RC|360^5^0;340^6^0
10.2307/1218711|*Ethnic Groups|C0015031|240|MH|RtM via: Chosen Chinese|TI|MM|333^6^0
10.2307/1218711|*Interior Design and Furnishings|C0021751|102|MH|RtM via: Table - furniture|TI|MM|438^5^0
10.2307/1218712|*Phenols|C0031428|1323|MH|RtM via: Substance with phenol structure|TI|MM;RC|322^9^0;84^8^0
10.2307/1218712|*Dissent and Disputes|C1136019|555|MH|RtM via: Disputes|TI|MM|155^6^0
10.2307/1218712|*Body Weight|C0005910|438|MH|RtM via: Body Weight|TI|MM|568^6^0
10.2307/1218714|*Larrea|C1026041|45844|MH|RtM via: Larrea;Forced Leaf Node Lookup:larrea;checkForceMH Boosted|TI|MM|57^6^0
10.2307/1218714|*Peganum|C1011059|30475|MH|RtM via: Peganum;Forced Leaf Node Lookup:peganum;checkForceMH Boosted|TI|MM|335^7^0
10.2307/1218714|*Zygophyllaceae|C0949862|36144|MH|RtM via: Fagonia;RtM via: Porlieria;RtM via: Bulnesia|TI|MM;RC|259^7^0;271^9^0;348^10^0
10.2307/1218714|*Desert Climate|C0011673|9057|MH|RtM via: Desert Climate|TI|MM|76^12^0
10.2307/1218714|South America|C0037713|996|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM;RC|378^13^0;102^13^0
10.2307/1218715|*Gymnosperms|C0598230|167201|ET|Entry Term Replacement for "Cycadopsida";RtM via: Taxodiaceae;RtM via: Cycadopsida;RtM via: Division Coniferophyta (organism);checkForceMH Boosted|TI|MM;RC|365^11^0;244^11^0;133^11^0;315^13^0;544^10^0
10.2307/1218715|*Taxodium|C1000618|148624|MH|RtM via: Taxodium;Forced Leaf Node Lookup:taxodiums;checkForceMH Boosted|TI|MM;RC|107^8^0
10.2307/1218715|*Conifers|C0682475|137894|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;RtM via: Gymnosperm;checkForceMH Boosted|TI|MM;RC|544^10^0;315^13^0
10.2307/1218715|*Sequoia|C1001332|79165|MH|RtM via: Sequoia;Forced Leaf Node Lookup:sequoias;checkForceMH Boosted|TI|MM|269^7^0
10.2307/1218715|*Taxodiaceae|C0950020|68837|ET|Entry Term Replacement for "Cupressaceae";RtM via: Cupressaceae;RtM via: Metasequoia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:taxodiaceae|TI|MM|365^11^0;244^11^0;133^11^0;120^11^0
10.2307/1218715|*Seeds|C0036563|9300|MH|RtM via: Taxodiaceae;RtM via: Division Coniferophyta (organism)|TI|MM|365^11^0;244^11^0;133^11^0;544^10^0
10.2307/1218715|Plant Shoots|C0242729|417|MH|||RC
10.2307/1218715|*Research|C0035168|117|MH|RtM via: Study|TI|MM|155^7^0
10.2307/1218715|*Infertility|C0021359|99|MH|RtM via: Infertility|TI|MM|536^7^0
10.2307/1218718|*Names|C0027365|600|MH|RtM via: Name;RtM via: Person Name|TI|MM;RC|524^5^0;315^5^0
10.2307/1218719|*Gardens|C4019428|30951|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM;RC|291^6^0
10.2307/1218719|Ohio|C0028905|12309|MH|RtM via: Ohio;Forced Leaf Node Lookup:ohio|TI|MM|801^4^0;416^4^0;313^4^0
10.2307/1218719|New York|C0027976|12294|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|272^8^0
10.2307/1218719|*Universities|C0041740|2646|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM;RC|812^10^0;427^10^0
10.2307/1218719|*Gardening|C0868963|6219|MH|RtM via: Gardening|TI|MM|291^6^0
10.2307/1218719|*Tracheophyta|C0682475|3477|MH|RtM via: Tracheophyta|TI|MM|41^15^0
10.2307/1218721|United States|C0041703|7594|CT|Forced Leaf Node Lookup:american|TI|MM;RC|110^8^0
10.2307/1218721|*Abstracting and Indexing|C0000858|6594|MH|RtM via: Index|TI|MM;RC|203^7^0
10.2307/1218721|*Publications|C0034036|3954|MH|RtM via: Scientific Publication|TI|MM;RC|283^9^0
10.2307/1218721|*Names|C0027365|519|MH|RtM via: Object Title;RtM via: Trial Title|TI|MM|276^6^0
10.2307/1218723|*Gymnosperms|C0598230|236007|ET|Entry Term Replacement for "Cycadopsida";RtM via: Cycadopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gymnosperms|TI|MM|447^11^0
10.2307/1218723|*Flowering Plants|C0330209|166953|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM;RC|429^16^0
10.2307/1218723|*Ferns|C0331729|100068|MH|RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ferns|TI|MM|463^5^0
10.2307/1218723|*Tracheophyta|C0682475|122316|MH|RtM via: Gymnosperm;RtM via: Tracheophyta|TI|MM|447^11^0;276^15^0
10.2307/1218723|*Publication|C0034036|14157|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|197^11^0;57^10^0;163^10^0
10.2307/1218723|*Books|C0006002|9453|MH|RtM via: Books;Forced Non-Leaf Node Lookup:books|TI|MM|231^5^0
10.2307/1218723|*Publishing|C0034037|6936|MH|RtM via: Publishing|TI|MM;RC|197^11^0
10.2307/1218723|*Surveys|C0038951|4344|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|729^7^0
10.2307/1218723|*Chromosome|C0008633|402|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|718^10^0
10.2307/1218750|Humans|C0086418|3475|CT|African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)|TI|MM
10.2307/1218750|*Iridaceae|C0949805|2475|MH|RtM via: Iridaceae;RtM via: Bobartia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iridaceae|TI|MM|246^9^0;206^8^0;28^8^0
10.2307/1218750|Sri Lanka|C0038088|126|MH|RtM via: Sri Lanka;Forced Leaf Node Lookup:ceylon|TI|MM|396^6^0
10.2307/1218750|*African Continental Ancestry Group|C1257891|54|MH|RtM via: South African|TI|MM|223^13^0
10.2307/1218767|*Charophyceae|C1671906|134866|MH|RtM via: Charophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:charophyceae|TI|MM;RC|830^12^0
10.2307/1218767|*Chlorophyceae|C0175807|66035|MH|RtM via: Chlorophyceae;Forced Leaf Node Lookup:chlorophyceae;checkForceMH Boosted|TI|MM|753^13^0
10.2307/1218767|*Chrysophyceae|C0996288|61555|ET|Entry Term Replacement for "Chrysophyta";RtM via: Chrysophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chrysophyceae|TI|MM|847^13^0
10.2307/1218767|*Phylogeny|C0031797|60920|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|524^12^0;32^9^0
10.2307/1218767|*Plants, Land|C1562025|79386|ET|Entry Term Replacement for "Embryophyta";RtM via: Embryophyta;Forced Non-Leaf Node Lookup:land plants|TI|MM;RC|792^11^0;785^6^1;797^6^1
10.2307/1218767|*Rhodophyta|C0002033|38256|MH|RtM via: Rhodophyta|TI|MM;RC|938^12^0
10.2307/1218767|*Stramenopiles|C1004618|34368|MH|RtM via: Dictyochales;RtM via: Xanthophyceae|TI|MM;RC|1178^12^0;865^13^0
10.2307/1218767|*Cyanophyceae|C1047211|18228|ET|Entry Term Replacement for "Cyanobacteria";RtM via: Cyanobacteria;RtM via: Class Cyanophyceae;Forced Non-Leaf Node Lookup:cyanophyceae|TI|MM;RC|671^12^0
10.2307/1218767|*Phaeophyceae|C0002031|14148|ET|Entry Term Replacement for "Phaeophyta";RtM via: Algae, Brown (eukaryote);Forced Non-Leaf Node Lookup:phaeophyceae|TI|MM|905^12^0
10.2307/1218772|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/1218772|*Phylogeny|C0031797|24530|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|1298^12^0;449^12^0;57^9^0
10.2307/1218772|*Fossils|C0016614|23833|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|688^6^0
10.2307/1218772|*Respect|C0679133|5707|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|1691^7^0
10.2307/1218772|*Ciliophora|C0085330|37086|MH|RtM via: Ciliata|TI|MM;RC|1203^7^0
10.2307/1218772|*Eukaryotic Cells|C0015161|3966|MH|RtM via: Eukaryotic Cells|TI|MM|134^10^0
10.2307/1218772|*Students|C0038492|2745|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|291^8^0
10.2307/1218772|*Knowledge|C0376554|1809|MH|RtM via: Knowledge|TI|MM|923^9^0
10.2307/1218772|*Attention|C0004268|516|MH|RtM via: Attention;RtM via: Predictability;Forced Non-Leaf Node Lookup:attention|TI|MM|267^9^0;1647^11^0
10.2307/1218773|*Leguminosae|C0023263|65491|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM;RC|1667^11^0;1391^11^0;222^11^0
10.2307/1218773|*Bromeliaceae|C0997210|43657|MH|RtM via: Bromeliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bromeliaceae|TI|MM|1683^12^0;1447^12^0;1239^12^0;208^12^0
10.2307/1218773|*Umbelliferae|C0524878|32707|ET|Entry Term Replacement for "Apiaceae";RtM via: Apiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:umbelliferae|TI|MM|238^12^0
10.2307/1218773|*Asclepiadaceae|C0949900|8884|ET|Entry Term Replacement for "Apocynaceae";RtM via: Apocynaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asclepiadaceae|TI|MM|1760^14^0;1372^14^0;192^14^0
10.2307/1218773|*Heuristics|C0597916|7108|MH|RtM via: Heuristics;Forced Leaf Node Lookup:heuristics|TI|MM|1825^9^0
10.2307/1218773|*Goals|C0018017|5731|MH|Forced Leaf Node Lookup:goals|TI|MM|876^5^0
10.2307/1218773|*Magnoliopsida|C0330209|6975|MH|RtM via: Family Asclepiadaceae - milkweed|TI|MM|1760^14^0;1372^14^0;192^14^0
10.2307/1218773|*Health Services|C0018747|708|MH|RtM via: Test Method|TI|MM|1798^6^0
10.2307/1218773|*Electrocoagulation|C0013804|285|MH|RtM via: Operation Units|TI|MM|1024^4^0;677^11^1;699^5^1
10.2307/1218774|*Betalains|C0600766|60681|MH|RtM via: Betalains;checkForceMH Boosted;Forced Non-Leaf Node Lookup:betalains|TI|MM;RC|45^9^0
10.2307/1218774|*Chenopodiaceae|C0446248|47490|MH|RtM via: Chenopodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chenopodiaceae|TI|MM;RC|161^14^0
10.2307/1218774|*Caryophyllales|C0996694|121626|MH|RtM via: Caryophyllales;RtM via: Halophytum|TI|MM;RC|292^13^0;98^10^0
10.2307/1218774|*Plastids|C0206524|6813|MH|RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM;RC|86^8^0;357^8^0
10.2307/1218776|*Phytolaccaceae|C0969727|183833|MH|RtM via: Petiveria;RtM via: Phytolaccaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytolaccaceae|TI|MM;RC|89^9^0;113^14^0
10.2307/1218776|*Betalains|C0600766|36428|MH|RtM via: Betalains;checkForceMH Boosted;Forced Non-Leaf Node Lookup:betalains|TI|MM|45^9^0
10.2307/1218776|*Caryophyllales|C0996694|75129|MH|RtM via: Caryophyllales;RtM via: Agdestis|TI|MM|176^13^0;103^8^0
10.2307/1218776|*Plastids|C0206524|5160|MH|RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM;RC|77^8^0
10.2307/1218777|*Gramineae|C0018210|3618|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gramineae|TI|MM;RC|81^9^0
10.2307/1218777|*Poly(ADP-ribose) Polymerases|C0032405|51|MH|RtM via: Poly(ADP-ribose) Polymerases|TI|MM|72^4^0
10.2307/1218777|Fournier Gangrene|C0238419|33|MH|||RC
10.2307/1218779|*Verbena|C1001150|1508|MH|RtM via: Verbena (Plant);Forced Leaf Node Lookup:verbenas;checkForceMH Boosted|TI|MM|1037^7^0
10.2307/1218779|*Names|C0027365|10479|MH|RtM via: Name;RtM via: First Name;RtM via: Last Name;RtM via: Person Name|TI|MM;RC|797^5^0;602^5^0;464^4^0;402^5^0;80^5^0;314^11^0;520^8^0;300^8^0
10.2307/1218779|*Language|C0023008|1782|MH|RtM via: adjectives|TI|MM|619^10^0
10.2307/1218779|*Behavior Therapy|C0004933|1539|MH|RtM via: STEPS to Enhance Physical Activity|TI|MM|42^5^0
10.2307/1218779|*Organization|C0029246|135|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|924^12^0
10.2307/1218781|*Names|C0027365|195|MH|RtM via: Name;RtM via: Person Name|TI|MM|96^5^0
10.2307/1218781|*Perfectionism|C0815110|27|MH|RtM via: Perfectionism|TI|MM|105^7^0
10.2307/1218783|Animals|C0003062|15305|CT|Ctenophora;CT Treecode Lookup: B01.050.500.325 (Ctenophora)||MM;RC
10.2307/1218783|*Avena|C0331496|14305|MH|RtM via: Avena sativa;Forced Leaf Node Lookup:avena sativa;checkForceMH Boosted|TI|MM;RC|49^12^0
10.2307/1218783|*Food Hypersensitivity|C0016470|1560|MH|RtM via: Oats preparation|TI|MM|49^12^0
10.2307/1218783|*Ctenophora|C0999736|480|MH|RtM via: Nuda|TI|MM|240^4^0;82^4^0
10.2307/1218783|*Name|C0027365|84|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|199^4^0
10.2307/1218783|*Vaccines|C0042210|63|MH|RtM via: Oats preparation|TI|MM|49^12^0
10.2307/1218785|*Pollen|C0032385|24774|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|494^6^0
10.2307/1218785|*Hybridization, Genetic|C0020202|19680|MH|RtM via: Crossbreeding|TI|MM;RC|618^13^0;464^14^0
10.2307/1218785|*Flower|C0330090|15978|ET|Entry Term Replacement for "Flowers";RtM via: Flowers|TI|MM;RC|368^8^0;174^8^0;38^8^0
10.2307/1218785|*Reproduction|C0035150|5091|MH|RtM via: Reproduction|TI|MM;RC|432^14^0;225^14^0
10.2307/1218786|Female|C0086287|2347|CT|Forced Non-Leaf Node Lookup:female||MM|731^6^0
10.2307/1218786|New Guinea|C0027966|161|MH|RtM via: New Guinea;Forced Leaf Node Lookup:new guinea|TI|MM|642^10^0
10.2307/1218786|*Poaceae|C0018210|1071|MH|RtM via: Cortaderia;RtM via: Danthonia|TI|MM|715^10^0;167^10^0;47^10^0;616^9^0
10.2307/1218786|*Names|C0027365|810|MH|RtM via: Name;RtM via: Person Name|TI|MM;RC|301^4^0;38^5^0
10.2307/1218786|*Data Collection|C0010995|69|MH|RtM via: Analytical Procedure Precision|TI|MM|187^9^0
10.2307/1218807|||||||
10.2307/1218809|*Names|C0027365|378|MH|RtM via: Last Name|TI|MM|28^12^0
10.2307/1218809|*Diagnostic Tests, Routine|C0011930|90|MH|RtM via: Fungi Measurement|TI|MM|114^5^0
10.2307/1218809|*Fungi|C0016832|81|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM|114^5^0
10.2307/1218811|*Fungi|C0016832|2832|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|295^5^0
10.2307/1218811|*Diagnostic Tests, Routine|C0011930|72|MH|RtM via: Fungi Measurement|TI|MM|295^5^0
10.2307/1218817|*Name|C0027365|876|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|210^4^0
10.2307/1218817|Bibliometrics|C0005364|152|MH|||RC
10.2307/1218817|*Sensation|C0036658|33|MH|RtM via: Esthesia|TI|MM|74^6^0
10.2307/1218426|*Apomixis|C3179018|204108|MH|RtM via: Apomixis;Forced Leaf Node Lookup:apomixis|TI|MM;RC|680^8^0;628^8^0;460^8^0;252^8^0;28^8^0
10.2307/1218426|*Diploidy|C0012568|94746|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|202^7^0
10.2307/1218426|*Flowering Plants|C0330209|74064|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM;RC|309^16^0
10.2307/1218426|*Polyploidy|C0032578|95367|MH|RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploidy|TI|MM;RC|535^10^0;101^10^0
10.2307/1218426|*Reproduction, Asexual|C0035152|51843|MH|RtM via: Reproduction, Asexual;Forced Non-Leaf Node Lookup:asexual reproductions|TI|MM;RC|874^20^0
10.2307/1218426|*Hybridization, Genetic|C0020202|49788|MH|RtM via: Crossbreeding|TI|MM;RC|569^13^0
10.2307/1218426|*Reproduction|C0035150|38619|MH|RtM via: Reproduction|TI|MM;RC|740^11^0
10.2307/1218426|*Fertility|C0015895|24066|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|492^9^0
10.2307/1218426|*Genotypes|C0017431|10440|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM;RC|765^9^0
10.2307/1218426|*Longitudinal Studies|C0023981|651|MH|RtM via: Continuous|TI|MM|776^10^0
10.2307/1218428|Animals|C0003062|8506|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes)||MM;RC
10.2307/1218428|*Health Services|C0018747|1878|MH|RtM via: Test Method|TI|MM|627^6^0
10.2307/1218428|*Strigiformes|C0326067|240|MH|RtM via: Otus|TI|MM|494^4^0
10.2307/1218428|*Research Design|C0035171|138|MH|RtM via: Test Method|TI|MM|627^6^0
10.2307/1218430|*Solanum|C0331221|17988|MH|RtM via: genus Solanum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanums|TI|MM|133^7^0
10.2307/1218430|*Solanum nigrum|C0331225|21186|MH|RtM via: Solanum nigrum|TI|MM|133^7^0
10.2307/1218430|*Publications|C0034036|1044|MH|RtM via: Card (document)|TI|MM;RC|735^4^0;467^5^0;227^5^0;41^5^0
10.2307/1218430|*Cardiology|C0007189|456|MH|RtM via: Cardiology discipline|TI|MM|735^4^0;467^5^0;227^5^0;41^5^0
10.2307/1218432|Humans|C0086418|12974|CT|CT Text Lookup: man|TI|MM;RC|179^3^0
10.2307/1218432|Male|C0086582|12974|CT|CT Text Lookup: man|TI|MM;RC|179^3^0
10.2307/1218432|*Domestication|C0175819|11974|MH|RtM via: Domestication;Forced Leaf Node Lookup:domestication|TI|MM;RC|341^13^0;239^12^0
